date,state,fips,cases,deaths
4/15/2020,HUANUCO,10,14,0
4/15/2020,ICA,11,13,0
4/15/2020,JUNIN,12,12,0
4/15/2020,LA LIBERTAD,13,27,0
4/15/2020,LAMBAYEQUE,14,176,0
4/15/2020,LIMA,15,774,0
4/15/2020,LORETO,15,14,0
4/15/2020,MADRE DE DIOS,17,6,0
4/15/2020,MOQUEGUA,18,4,0
4/15/2020,PIURA,20,77,0
4/15/2020,PUNO,21,4,0
4/15/2020,SAN MARTIN,22,13,0
4/15/2020,TACNA,23,2,0
4/15/2020,TUMBES,24,18,0
4/15/2020,UCAYALI,25,21,0
4/16/2020,AMAZONAS,01,3,0
4/16/2020,ANCASH,02,38,0
4/16/2020,APURIMAC,03,4,0
4/16/2020,AREQUIPA,04,41,0
4/16/2020,AYACUCHO,05,1,0
4/16/2020,CAJAMARCA,06,5,0
4/16/2020,CALLAO,07,100,0
4/16/2020,CUSCO,08,8,0
4/16/2020,HUANCAVELICA,09,6,0
4/16/2020,HUANUCO,10,11,0
4/16/2020,ICA,11,23,0
4/16/2020,JUNIN,12,28,0
4/16/2020,LA LIBERTAD,13,25,0
4/16/2020,LAMBAYEQUE,14,85,0
4/16/2020,LIMA,15,828,0
4/16/2020,LORETO,15,7,0
4/16/2020,MADRE DE DIOS,17,6,0
4/16/2020,MOQUEGUA,18,5,0
4/16/2020,PASCO,19,3,0
4/16/2020,PIURA,20,52,0
4/16/2020,PUNO,21,2,0
4/16/2020,SAN MARTIN,22,11,0
4/16/2020,TACNA,23,7,0
4/16/2020,TUMBES,24,12,0
4/16/2020,UCAYALI,25,6,0
4/17/2020,AMAZONAS,01,1,0
4/17/2020,ANCASH,02,26,0
4/17/2020,APURIMAC,03,5,0
4/17/2020,AREQUIPA,04,12,0
4/17/2020,AYACUCHO,05,4,0
4/17/2020,CAJAMARCA,06,10,0
4/17/2020,CALLAO,07,116,0
4/17/2020,CUSCO,08,7,0
4/17/2020,HUANCAVELICA,09,1,0
4/17/2020,HUANUCO,10,38,0
4/17/2020,ICA,11,22,0
4/17/2020,JUNIN,12,20,0
4/17/2020,LA LIBERTAD,13,26,0
4/17/2020,LAMBAYEQUE,14,77,0
4/17/2020,LIMA,15,559,0
4/17/2020,LORETO,15,58,0
4/17/2020,MADRE DE DIOS,17,5,0
4/17/2020,MOQUEGUA,18,5,0
4/17/2020,PASCO,19,2,0
4/17/2020,PIURA,20,49,0
4/17/2020,PUNO,21,4,0
4/17/2020,SAN MARTIN,22,12,0
4/17/2020,TACNA,23,9,0
4/17/2020,TUMBES,24,7,0
4/17/2020,UCAYALI,25,15,0
4/18/2020,AMAZONAS,01,3,0
4/18/2020,ANCASH,02,57,0
4/18/2020,APURIMAC,03,4,0
4/18/2020,AREQUIPA,04,33,0
4/18/2020,CAJAMARCA,06,7,0
4/18/2020,CALLAO,07,107,0
4/18/2020,CUSCO,08,11,0
4/18/2020,HUANUCO,10,20,0
4/18/2020,ICA,11,19,0
4/18/2020,JUNIN,12,14,0
4/18/2020,LA LIBERTAD,13,27,0
4/18/2020,LAMBAYEQUE,14,47,0
4/18/2020,LIMA,15,862,0
4/18/2020,LORETO,15,71,0
4/18/2020,MADRE DE DIOS,17,4,0
4/18/2020,PASCO,19,13,0
4/18/2020,PIURA,20,42,0
4/18/2020,PUNO,21,9,0
4/18/2020,SAN MARTIN,22,12,0
4/18/2020,TACNA,23,5,0
4/18/2020,TUMBES,24,6,0
4/18/2020,UCAYALI,25,19,0
4/19/2020,AMAZONAS,01,1,0
4/19/2020,ANCASH,02,9,0
4/19/2020,AREQUIPA,04,3,0
4/19/2020,AYACUCHO,05,3,0
4/19/2020,CAJAMARCA,06,2,0
4/19/2020,CALLAO,07,78,0
4/19/2020,HUANCAVELICA,09,2,0
4/19/2020,HUANUCO,10,4,0
4/19/2020,ICA,11,4,0
4/19/2020,JUNIN,12,5,0
4/19/2020,LA LIBERTAD,13,10,0
4/19/2020,LAMBAYEQUE,14,26,0
4/19/2020,LIMA,15,828,0
4/19/2020,LORETO,15,42,0
4/19/2020,MOQUEGUA,18,1,0
4/19/2020,PASCO,19,2,0
4/19/2020,PIURA,20,11,0
4/19/2020,SAN MARTIN,22,1,0
4/19/2020,TACNA,23,3,0
4/19/2020,TUMBES,24,6,0
4/19/2020,UCAYALI,25,22,0
4/20/2020,AMAZONAS,01,3,0
4/20/2020,ANCASH,02,35,0
4/20/2020,APURIMAC,03,1,0
4/20/2020,AREQUIPA,04,28,0
4/20/2020,AYACUCHO,05,3,0
4/20/2020,CAJAMARCA,06,11,0
4/20/2020,CALLAO,07,374,0
4/20/2020,CUSCO,08,15,0
4/20/2020,HUANCAVELICA,09,3,0
4/20/2020,HUANUCO,10,7,0
4/20/2020,ICA,11,28,0
4/20/2020,JUNIN,12,19,0
4/20/2020,LA LIBERTAD,13,52,0
4/20/2020,LAMBAYEQUE,14,142,0
4/20/2020,LIMA,15,"1,121",0
4/20/2020,LORETO,15,39,0
4/20/2020,LORETO,16,3,0
4/20/2020,MADRE DE DIOS,17,5,0
4/20/2020,MOQUEGUA,18,9,0
4/20/2020,PASCO,19,13,0
4/20/2020,PIURA,20,54,0
4/20/2020,PUNO,21,10,0
4/20/2020,SAN MARTIN,22,7,0
4/20/2020,TACNA,23,6,0
4/20/2020,TUMBES,24,17,0
4/20/2020,UCAYALI,25,26,0
4/21/2020,AMAZONAS,01,7,0
4/21/2020,ANCASH,02,45,0
4/21/2020,APURIMAC,03,7,0
4/21/2020,AREQUIPA,04,28,0
4/21/2020,AYACUCHO,05,1,0
4/21/2020,CAJAMARCA,06,9,0
4/21/2020,CALLAO,07,432,0
4/21/2020,CUSCO,08,7,0
4/21/2020,HUANCAVELICA,09,1,0
4/21/2020,HUANUCO,10,10,0
4/21/2020,ICA,11,22,0
4/21/2020,JUNIN,12,28,0
4/21/2020,LA LIBERTAD,13,44,0
4/21/2020,LAMBAYEQUE,14,132,0
4/21/2020,LIMA,15,"1,240",0
4/21/2020,LORETO,15,17,0
4/21/2020,LORETO,16,2,0
4/21/2020,MADRE DE DIOS,17,5,0
4/21/2020,MOQUEGUA,18,7,0
4/21/2020,PASCO,19,11,0
4/21/2020,PIURA,20,50,0
4/21/2020,PUNO,21,15,0
4/21/2020,SAN MARTIN,22,5,0
4/21/2020,TACNA,23,5,0
4/21/2020,TUMBES,24,2,0
4/21/2020,UCAYALI,25,23,0
4/22/2020,AMAZONAS,01,3,0
4/22/2020,ANCASH,02,30,0
4/22/2020,APURIMAC,03,3,0
4/22/2020,AREQUIPA,04,43,0
4/22/2020,AYACUCHO,05,2,0
4/22/2020,CAJAMARCA,06,35,0
4/22/2020,CALLAO,07,123,0
4/22/2020,CUSCO,08,19,0
4/22/2020,HUANCAVELICA,09,4,0
4/22/2020,HUANUCO,10,5,0
4/22/2020,ICA,11,32,0
4/22/2020,JUNIN,12,20,0
4/22/2020,LA LIBERTAD,13,46,0
4/22/2020,LAMBAYEQUE,14,136,0
4/22/2020,LIMA,15,"1,410",0
4/22/2020,LORETO,15,17,0
4/22/2020,LORETO,16,1,0
4/22/2020,MADRE DE DIOS,17,13,0
4/22/2020,MOQUEGUA,18,4,0
4/22/2020,PASCO,19,2,0
4/22/2020,PIURA,20,72,0
4/22/2020,PUNO,21,6,0
4/22/2020,SAN MARTIN,22,4,0
4/22/2020,TACNA,23,6,0
4/22/2020,TUMBES,24,7,0
4/22/2020,UCAYALI,25,24,0
4/23/2020,AMAZONAS,01,2,0
4/23/2020,ANCASH,02,48,0
4/23/2020,APURIMAC,03,3,0
4/23/2020,AREQUIPA,04,56,0
4/23/2020,AYACUCHO,05,2,0
4/23/2020,CAJAMARCA,06,8,0
4/23/2020,CALLAO,07,159,0
4/23/2020,CUSCO,08,14,0
4/23/2020,HUANCAVELICA,09,3,0
4/23/2020,HUANUCO,10,9,0
4/23/2020,ICA,11,34,0
4/23/2020,JUNIN,12,22,0
4/23/2020,LA LIBERTAD,13,40,0
4/23/2020,LAMBAYEQUE,14,177,0
4/23/2020,LIMA,15,"1,261",0
4/23/2020,LORETO,15,23,0
4/23/2020,LORETO,16,2,0
4/23/2020,MADRE DE DIOS,17,2,0
4/23/2020,MOQUEGUA,18,6,0
4/23/2020,PASCO,19,4,0
4/23/2020,PIURA,20,102,0
4/23/2020,PUNO,21,8,0
4/23/2020,SAN MARTIN,22,2,0
4/23/2020,TACNA,23,4,0
4/23/2020,TUMBES,24,12,0
4/23/2020,UCAYALI,25,15,0
4/24/2020,AMAZONAS,01,6,0
4/24/2020,ANCASH,02,58,0
4/24/2020,APURIMAC,03,2,0
4/24/2020,AREQUIPA,04,66,0
4/24/2020,AYACUCHO,05,5,0
4/24/2020,CAJAMARCA,06,22,0
4/24/2020,CALLAO,07,124,0
4/24/2020,CUSCO,08,3,0
4/24/2020,HUANCAVELICA,09,3,0
4/24/2020,HUANUCO,10,9,0
4/24/2020,ICA,11,16,0
4/24/2020,JUNIN,12,11,0
4/24/2020,LA LIBERTAD,13,21,0
4/24/2020,LAMBAYEQUE,14,212,0
4/24/2020,LIMA,15,"1,296",0
4/24/2020,LORETO,15,77,0
4/24/2020,LORETO,16,2,0
4/24/2020,MADRE DE DIOS,17,3,0
4/24/2020,MOQUEGUA,18,15,0
4/24/2020,PASCO,19,3,0
4/24/2020,PIURA,20,152,0
4/24/2020,PUNO,21,16,0
4/24/2020,SAN MARTIN,22,13,0
4/24/2020,TACNA,23,5,0
4/24/2020,TUMBES,24,20,0
4/24/2020,UCAYALI,25,51,0
4/25/2020,AMAZONAS,01,10,0
4/25/2020,ANCASH,02,81,0
4/25/2020,APURIMAC,03,8,0
4/25/2020,AREQUIPA,04,24,0
4/25/2020,AYACUCHO,05,7,0
4/25/2020,CAJAMARCA,06,16,0
4/25/2020,CALLAO,07,171,0
4/25/2020,CUSCO,08,11,0
4/25/2020,HUANCAVELICA,09,14,0
4/25/2020,HUANUCO,10,48,0
4/25/2020,ICA,11,27,0
4/25/2020,JUNIN,12,15,0
4/25/2020,LA LIBERTAD,13,53,0
4/25/2020,LAMBAYEQUE,14,135,0
4/25/2020,LIMA,15,"1,406",0
4/25/2020,LORETO,15,78,0
4/25/2020,LORETO,16,6,0
4/25/2020,MADRE DE DIOS,17,7,0
4/25/2020,MOQUEGUA,18,14,0
4/25/2020,PASCO,19,8,0
4/25/2020,PIURA,20,156,0
4/25/2020,PUNO,21,17,0
4/25/2020,SAN MARTIN,22,29,0
4/25/2020,TACNA,23,6,0
4/25/2020,TUMBES,24,12,0
4/25/2020,UCAYALI,25,21,0
4/26/2020,AMAZONAS,01,9,0
4/26/2020,ANCASH,02,13,0
4/26/2020,APURIMAC,03,4,0
4/26/2020,AREQUIPA,04,4,0
4/26/2020,AYACUCHO,05,13,0
4/26/2020,CAJAMARCA,06,3,0
4/26/2020,CALLAO,07,67,0
4/26/2020,CUSCO,08,1,0
4/26/2020,HUANCAVELICA,09,11,0
4/26/2020,HUANUCO,10,6,0
4/26/2020,ICA,11,10,0
4/26/2020,JUNIN,12,12,0
4/26/2020,LA LIBERTAD,13,8,0
4/26/2020,LAMBAYEQUE,14,70,0
4/26/2020,LIMA,15,974,0
4/26/2020,LORETO,15,55,0
4/26/2020,LORETO,16,3,0
4/26/2020,MADRE DE DIOS,17,1,0
4/26/2020,MOQUEGUA,18,5,0
4/26/2020,PASCO,19,5,0
4/26/2020,PIURA,20,80,0
4/26/2020,PUNO,21,14,0
4/26/2020,SAN MARTIN,22,16,0
4/26/2020,TACNA,23,3,0
4/26/2020,TUMBES,24,9,0
4/26/2020,UCAYALI,25,17,0
4/27/2020,AMAZONAS,01,17,0
4/27/2020,ANCASH,02,47,0
4/27/2020,APURIMAC,03,6,0
4/27/2020,AREQUIPA,04,76,0
4/27/2020,AYACUCHO,05,17,0
4/27/2020,CAJAMARCA,06,10,0
